Task,System,Subsystem,Upregulated_in_CRC
Elaidate degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
Elaidate synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
Ethanol to acetaldehyde,CARBOHYDRATES METABOLISM,GLYCOLYSIS/GLUCONEOGENESIS,0
FAD synthesis,VITAMIN & COFACTOR METABOLISM,COENZYME FAD BIOSYNTHESIS,0
Farnesyl-pyrophosphate synthesis,LIPIDS METABOLISM,CHOLESTEROL METABOLISM,0
Fructose degradation (to glucose-3-phosphate),CARBOHYDRATES METABOLISM,FRUCTOSE METABOLISM,0
Fructose to glucose conversion (via fructose-6-phosphate),CARBOHYDRATES METABOLISM,FRUCTOSE METABOLISM,0
Fucosylation (addition of fucose),Processing in the Golgi,N-glycan processing (Golgi),0
GDP-L-fucose synthesis,CARBOHYDRATES METABOLISM,FUCOSE METABOLISM,0
GDP-mannose synthesis,CARBOHYDRATES METABOLISM,MANNOSE METABOLISM,0
GMP salvage from guanine,NUCLEOTIDE METABOLISM,SALVAGE,0
GPI-anchor,Processing in the ER,PTMs,0
Galactosylation (addition of galactose),Processing in the Golgi,N-glycan processing (Golgi),0
Gluconeogenesis from Alanine,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,0
Gluconeogenesis from Glutamine,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,0
Gluconeogenesis from Glycerol,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,0
Gluconeogenesis from Lactate,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,0
Gluconeogenesis from pyruvate,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,0
Glucose to lactate conversion,CARBOHYDRATES METABOLISM,PYRUVATE METABOLISM,1
Glucuronate synthesis (via inositol),CARBOHYDRATES METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSION,0
Glucuronate synthesis (via udp-glucose),CARBOHYDRATES METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSION,0
Glutamate degradation,AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,0
Glutamate synthesis,AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,0
Glutamine degradation,AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,1
Glutamine synthesis,AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,0
Glutaminolysis (glutamine to lactate),AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,1
Glutathionate synthesis,AMINO ACIDS METABOLISM,GLUTATHIONE METABOLISM,0
Glycerol-3-phosphate synthesis,LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,0
Glycine degradation,AMINO ACIDS METABOLISM,GLYCINE METABOLISM,0
Glycine synthesis,AMINO ACIDS METABOLISM,GLYCINE METABOLISM,0
Glycochenodeoxycholate synthesis,LIPIDS METABOLISM,BILE ACID SYNTHESIS,0
Glycogen biosynthesis,CARBOHYDRATES METABOLISM,GLYCOGEN METABOLISM,0
Glycogen degradation,CARBOHYDRATES METABOLISM,GLYCOGEN METABOLISM,0
Guanosine triphosphate synthesis (GTP),NUCLEOTIDE METABOLISM,IMP SYNTHESIS / PURINE METABOLISM,1
Heme synthesis,VITAMIN & COFACTOR METABOLISM,HEME METABOLISM,0
Histidine degradation,AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,0
Homocysteine degradation,AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM,0
Homocysteine synthesis (need methionine),AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM,0
Hydroxymethylglutaryl-CoA synthesis,LIPIDS METABOLISM,CHOLESTEROL METABOLISM,1
IMP salvage from hypoxanthine,NUCLEOTIDE METABOLISM,SALVAGE,0
Inosine monophosphate synthesis (IMP),NUCLEOTIDE METABOLISM,IMP SYNTHESIS / PURINE METABOLISM,1
Inositol as input for glucuronate-xylulose pathway,CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,0
Isoleucine degradation,AMINO ACIDS METABOLISM,ISOLEUCINE METABOLISM,0
Keratan sulfate biosynthesis from N-glycan,GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,0
Keratan sulfate biosynthesis from O-glycan (core 2-linked),GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,0
Keratan sulfate biosynthesis from O-glycan (core 4-linked),GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,0
Keratan sulfate degradation,GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,0
Krebs cycle - NADH generation,ENERGY METABOLISM,KREBS CYCLE,0
Krebs cycle - oxidative decarboxylation of pyruvate,ENERGY METABOLISM,KREBS CYCLE,0
Leucine degradation,AMINO ACIDS METABOLISM,LEUCINE METABOLISM,0
Link between glyoxylate metabolism and pentose phosphate pathway (Xylulose to glycolate),CARBOHYDRATES METABOLISM,GLYOXYLATE METABOLISM,0
Linoleate degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
Linolenate degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
Lysine degradation,AMINO ACIDS METABOLISM,LYSINE METABOLISM,0
Malate to pyruvate conversion,CARBOHYDRATES METABOLISM,PYRUVATE METABOLISM,0
Mannose degradation (to fructose-6-phosphate),CARBOHYDRATES METABOLISM,MANNOSE METABOLISM,0
Mannose trimming (mannosidase),Processing in the Golgi,N-glycan processing (Golgi),0
Methionine degradation,AMINO ACIDS METABOLISM,METHIONINE METABOLISM,0
Mevalonate synthesis,LIPIDS METABOLISM,CHOLESTEROL METABOLISM,0
N-Acetylglucosamine synthesis,CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,0
N-glycan processing (ER),Processing in the ER,Protein folding,0
N-linked glycosylation,Processing in the ER,PTMs,0
NAD synthesis from nicotinamide,VITAMIN & COFACTOR METABOLISM,COENZYME NAD BIOSYNTHESIS,0
O-linked glycosylation,Processing in the Golgi,O-glycan processing (Golgi),0
Ornithine degradation,AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,0
Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I),ENERGY METABOLISM,OXYDATIVE PHOSPHORYLATION,0
Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II),ENERGY METABOLISM,OXYDATIVE PHOSPHORYLATION,0
Palmitate degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
Palmitate synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM,1
Palmitolate degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
Palmitolate synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
Phenylalanine degradation,AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,0
Phenylalanine to phenylacetaldehyde,AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,0
Phenylalanine to phenylacetate (via phenylacetaldehyde),AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,0
Phenylalanine to tyrosine,AMINO ACIDS METABOLISM,PHENYLALANINE METABOLISM,0
Phosphatidyl-choline synthesis,LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,1
Phosphatidyl-ethanolamine synthesis,LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,1
Phosphatidyl-inositol synthesis,LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,0
Phosphatidyl-inositol to glucosaminyl-acylphosphatidylinositol,GLYCAN METABOLISM,GPI ANCHOR BIOSYNTHESIS,0
Phosphatidyl-serine synthesis,LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,0
Post translational translocation,Translocation,Translocation,0
Presence of the thioredoxin system through the thioredoxin reductase activity,ENERGY METABOLISM,REDOX METABOLISM,0
Proline degradation,AMINO ACIDS METABOLISM,PROLINE METABOLISM,0
Proline synthesis,AMINO ACIDS METABOLISM,PROLINE METABOLISM,1
Proteasome degradation,Proteostasis,ERAD,0
Pyridoxal-phosphate synthesis,VITAMIN & COFACTOR METABOLISM,VITAMIN B6 METABOLISM,0
Reactive oxygen species detoxification (H2O2 to H2O),ENERGY METABOLISM,OXIDATIVE PHOSPHORYLATION & ROS DETOXIFICATION,0
Recognition of misfolded protein,Proteostasis,ERAD,1
Retro-translocation & substrate ubiquitination,Proteostasis,ERAD,1
S-adenosyl-L-methionine synthesis,AMINO ACIDS METABOLISM,METHIONINE METABOLISM,0
Serine degradation,AMINO ACIDS METABOLISM,SERINE METABOLISM,1
Serine synthesis,AMINO ACIDS METABOLISM,SERINE METABOLISM,1
Sialylation (addition of sialic acid),Processing in the Golgi,N-glycan processing (Golgi),1
Sphingomyelin synthesis,LIPIDS METABOLISM,SPHINGOLIPID METABOLISM,1
Starch degradation,CARBOHYDRATES METABOLISM,STARCH DEGRADATION,0
Synthesis of GABA,AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,0
Synthesis of L-kynurenine from tryptophan,AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,1
Synthesis of N-formylanthranilate from tryptophan,AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,0
Synthesis of acetone,CARBOHYDRATES METABOLISM,KETOGENESIS,0
Synthesis of alanine from glutamine,AMINO ACIDS METABOLISM,ALANINE METABOLISM,0
Synthesis of anthranilate from tryptophan,AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,0
Synthesis of arginine from glutamine,AMINO ACIDS METABOLISM,ARGININE METABOLISM,0
Synthesis of aspartate from glutamine,AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,0
Synthesis of bilirubin,VITAMIN & COFACTOR METABOLISM,HEME METABOLISM,0
Synthesis of coenzyme A,VITAMIN & COFACTOR METABOLISM,COENZYME A BIOSYNTHESIS,0
Synthesis of creatine from arginine,AMINO ACIDS METABOLISM,ARGININE METABOLISM,0
Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt),CARBOHYDRATES METABOLISM,PENTOSE PHOSPHATE PATHWAY,0
Synthesis of galactosyl glucosyl ceramide (link with ganglioside metabolism),LIPIDS METABOLISM,GANGLIOSIDE METABOLISM,1
Synthesis of globoside (link with globoside metabolism),LIPIDS METABOLISM,GLOBOSIDE METABOLISM,0
Synthesis of glucocerebroside,LIPIDS METABOLISM,GANGLIOSIDE METABOLISM,1
Synthesis of inositol,CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,0
Synthesis of kynate from tryptophan,AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,1
Synthesis of lactose,CARBOHYDRATES METABOLISM,GALACTOSE METABOLISM,0
Synthesis of malonyl-coa,LIPIDS METABOLISM,FATTY ACID METABOLISM,1
Synthesis of methylglyoxal,CARBOHYDRATES METABOLISM,METHYLGLYOXAL METABOLISM,0
Synthesis of nitric oxide from arginine,AMINO ACIDS METABOLISM,ARGININE METABOLISM,0
Synthesis of ornithine from glutamine,AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,0
Synthesis of palmitoyl-CoA,LIPIDS METABOLISM,FATTY ACID METABOLISM,1
Synthesis of phosphatidylinositol from inositol,CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,0
Synthesis of proline from glutamine,AMINO ACIDS METABOLISM,PROLINE METABOLISM,0
Synthesis of quinolinate from tryptophan,AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,0
Synthesis of ribose-5-phosphate,CARBOHYDRATES METABOLISM,PENTOSE PHOSPHATE PATHWAY,1
Synthesis of serotonin from tryptophan,AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,0
Synthesis of spermidine from ornithine,AMINO ACIDS METABOLISM,ORNITHINE METABOLISM,0
Synthesis of taurine from cysteine,AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,0
Synthesis of thromboxane from arachidonate,LIPIDS METABOLISM,EICOSANOID METABOLISM,1
Synthesis of ubiquinone from tyrosine,VITAMIN & COFACTOR METABOLISM,UBIQUINONE 10 BIOSYNTHESIS,0
Taurochenodeoxycholate synthesis,LIPIDS METABOLISM,BILE ACID SYNTHESIS,0
Tetrahydrofolate synthesis,VITAMIN & COFACTOR METABOLISM,FOLATE METABOLISM,0
Threonine degradation,AMINO ACIDS METABOLISM,THREONINE METABOLISM,0
Trafficking to endosomes (Clathrin Vesicles),Vesicle trafficking,Endosomal trafficking,0
Triacylglycerol synthesis,LIPIDS METABOLISM,TRIACYLGLYCEROL METABOLISM,0
Tryptophan degradation,AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,1
Tyrosine degradation,AMINO ACIDS METABOLISM,TYROSINE METABOLISM,0
Tyrosine synthesis (need phenylalanine),AMINO ACIDS METABOLISM,TYROSINE METABOLISM,0
Tyrosine to acetoacetate and fumarate,AMINO ACIDS METABOLISM,TYROSINE METABOLISM,0
Tyrosine to adrenaline,AMINO ACIDS METABOLISM,TYROSINE METABOLISM,0
Tyrosine to dopamine,AMINO ACIDS METABOLISM,TYROSINE METABOLISM,0
Tyrosine to melanin,AMINO ACIDS METABOLISM,TYROSINE METABOLISM,0
UDP-N-acetyl D-galactosamine synthesis,CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,0
UDP-galactose synthesis,CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,0
UDP-glucose synthesis,CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,0
UDP-glucuronate synthesis,CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,0
Uridine triphosphate synthesis (UTP),NUCLEOTIDE METABOLISM,UMP SYNTHESIS,1
Valine degradation,AMINO ACIDS METABOLISM,VALINE METABOLISM,0
Valine to succinyl-coA,AMINO ACIDS METABOLISM,VALINE METABOLISM,0
Vesicle secretion,Vesicle trafficking,Vesicle secretion,1
beta-Alanine degradation,AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,0
beta-Alanine synthesis,AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,0
cis-vaccenic acid degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
cis-vaccenic acid synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
gamma-Linolenate degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
gamma-Linolenate synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM,0
glyco-cholate synthesis,LIPIDS METABOLISM,BILE ACID SYNTHESIS,0
tauro-cholate synthesis,LIPIDS METABOLISM,BILE ACID SYNTHESIS,0
Conversion of estrone (E1) to estradiol-17beta (E2),HORMONES METABOLISM,ESTROGEN METABOLISM,0
Conversion of estrone (E1) to estrone sulfate (E1S),HORMONES METABOLISM,ESTROGEN METABOLISM,0
Synthesis of androstenedione from cholesterol,HORMONES METABOLISM,ANDROGEN METABOLISM,0
Synthesis of estradiol-17beta (E2) from androstenedione,HORMONES METABOLISM,ESTROGEN METABOLISM,0
Synthesis of estrone (E1) from androstenedione,HORMONES METABOLISM,ESTROGEN METABOLISM,0
Synthesis of progesterone from cholesterol,HORMONES METABOLISM,PROGESTERONE METABOLISM,0
Synthesis of testosterone from androstenedione,HORMONES METABOLISM,ANDROGEN METABOLISM,0
